iter	RMSE
174	1.24770175
175	1.247295976
176	1.246597542
177	1.245836216
178	1.245553792
179	1.245341116
180	1.244998863
181	1.244820881
182	1.244624979
183	1.244196065
184	1.24400692
185	1.243737717
186	1.242506519
187	1.241994909
188	1.241331211
189	1.240890747
190	1.239593767
191	1.239164441
192	1.238880548
193	1.238656473
194	1.238410614
195	1.238026937
196	1.237714327
197	1.236946591
198	1.236760737
199	1.236436758
200	1.235998929
201	1.235656876
202	1.235273822
203	1.234851997
204	1.234563809
205	1.23421765
206	1.233699423
207	1.233445872
208	1.233162502
209	1.232918516
210	1.232697518
211	1.23237676
212	1.232090495
213	1.231814498
214	1.231457621
215	1.231276638
216	1.230998445
217	1.230610945
218	1.230395491
219	1.230319232
220	1.229817886
221	1.229448861
222	1.229266801
223	1.229100768
224	1.228819956
225	1.227686078
226	1.226624367
227	1.226353231
228	1.226075814
229	1.225969028
230	1.225624325
231	1.225343234
232	1.225146499
233	1.224843216
234	1.224589225
235	1.224292002
236	1.224073889
237	1.223794096
238	1.223602368
239	1.223360951
240	1.222999993
241	1.222757133
242	1.222625842
243	1.222302926
244	1.222116304
245	1.221908733
246	1.221607528
247	1.221430136
248	1.221351055
249	1.221058163
250	1.220753593
251	1.220078746
252	1.219752723
253	1.219469272
254	1.219258538
255	1.219027144
256	1.218692294
257	1.218375305
258	1.218229486
259	1.218034796
260	1.217814652
261	1.217648969
262	1.217455113
263	1.21727778
264	1.217156691
265	1.216860942
266	1.216585334
267	1.216447656
268	1.216224292
269	1.215958759
270	1.215558539
271	1.215338192
272	1.214923673
273	1.214607352
274	1.214452232
275	1.214286489
276	1.213582848
277	1.213284946
278	1.213097899
279	1.212900971
280	1.212640234
281	1.21235383
282	1.212201273
283	1.211248262
284	1.211119568
285	1.210725094
286	1.210576919
287	1.210429202
288	1.210257396
289	1.210168662
290	1.209786403
291	1.209433739
292	1.209226015
293	1.209042419
294	1.208889447
295	1.208668063
296	1.208483089
297	1.208310472
298	1.208144895
299	1.207973529
300	1.207875919
301	1.207774504
302	1.207622661
303	1.207331643
304	1.207131046
305	1.20701151
306	1.206926198
307	1.206772206
308	1.20647625
309	1.206402997
310	1.205774958
311	1.205440963
312	1.205229204
313	1.205030034
314	1.20471937
315	1.204025479
316	1.203068158
317	1.202931983
318	1.202666014
319	1.202632654
320	1.20229683
321	1.202217193
322	1.201997093
323	1.201796947
324	1.201531158
325	1.201207157
326	1.200883677
327	1.20078231
328	1.200620596
329	1.200469053
330	1.200265261
331	1.199949968
332	1.199696831
333	1.199537541
334	1.199268123
335	1.199063496
336	1.198752768
337	1.19858032
338	1.198362607
339	1.198036693
340	1.197715399
341	1.197544798
342	1.197250672
343	1.197081797
344	1.196829121
345	1.196635276
346	1.196413872
347	1.196247703
348	1.196038952
349	1.195751081
350	1.195580007
351	1.195339861
352	1.195070456
353	1.195008571
354	1.194625387
355	1.194401368
356	1.194175334
357	1.193933082
358	1.193794038
359	1.193587435
360	1.193237316
361	1.193127362
362	1.192366427
363	1.192165396
364	1.191924414
365	1.191801624
366	1.191657864
367	1.191535975
368	1.191314557
369	1.191038054
370	1.190307316
371	1.190105185
372	1.190002438
373	1.189922418
374	1.189711971
375	1.189563548
376	1.189321307
377	1.18917073
378	1.189017733
379	1.188725538
380	1.188580227
381	1.188390597
382	1.188231234
383	1.187950637
384	1.187730008
385	1.187590576
386	1.187493224
387	1.186625687
388	1.186430671
389	1.186269085
390	1.186168048
391	1.185979373
392	1.18580504
393	1.185633344
394	1.185526244
395	1.184688393
396	1.184455163
397	1.184322798
398	1.184165391
399	1.183956781
400	1.18375947
401	1.183628215
402	1.183431378
403	1.18327174
404	1.183124392
405	1.182887936
406	1.18269646
407	1.182614017
408	1.18251252
409	1.182320536
410	1.182134975
411	1.181988727
412	1.181913669
413	1.181790358
414	1.181692942
415	1.181622662
416	1.181497085
417	1.181335528
418	1.181221958
419	1.181048116
420	1.180904052
421	1.180687542
422	1.180553783
423	1.180461974
424	1.180259462
425	1.180161771
426	1.180002405
427	1.179747661
428	1.179637127
429	1.179463899
430	1.179287607
431	1.179074457
432	1.178917257
433	1.17867832
434	1.178579826
435	1.178183453
436	1.177340222
437	1.177234365
438	1.177132563
439	1.177050414
440	1.176929436
441	1.176792682
442	1.176644268
443	1.176594159
444	1.17636671
445	1.176098428
446	1.176009134
447	1.175936349
448	1.175733395
449	1.17560655
450	1.175445195
451	1.175353477
452	1.175236893
453	1.175081924
454	1.174827636
455	1.174672995
456	1.17443256
457	1.174276742
458	1.174149111
459	1.173882295
460	1.173693594
461	1.173570895
462	1.173450159
463	1.17330293
464	1.173195269
465	1.173049001
466	1.172967133
467	1.17287342
468	1.172805128
469	1.172606152
470	1.172457324
471	1.172304764
472	1.172191512
473	1.171931222
474	1.171689779
475	1.171593066
476	1.171495723
477	1.171313515
478	1.171079903
479	1.170871915
480	1.170663717
481	1.170454566
482	1.170282236
483	1.170065658
484	1.169890442
485	1.169710935
486	1.169525287
487	1.169190303
488	1.168648501
489	1.167947409
490	1.16773383
491	1.16696919
492	1.16685535
493	1.166734552
494	1.166112367
495	1.165967819
496	1.165262745
497	1.165054056
498	1.164994472
499	1.164951249
500	1.164724202
501	1.164580559
502	1.164425385
503	1.164270918
504	1.164185853
505	1.164049071
506	1.163886181
507	1.163769966
508	1.163646062
509	1.163437519
510	1.163291427
511	1.163218872
512	1.162984399
513	1.162812175
514	1.16211514
515	1.161925866
516	1.16183954
517	1.16179058
518	1.161640616
519	1.161537041
520	1.161320593
521	1.161182198
522	1.161072001
523	1.16034266
524	1.160216886
525	1.160102003
526	1.159920684
527	1.159723088
528	1.15962935
529	1.159469662
530	1.159366206
531	1.15919946
532	1.159075178
533	1.158856323
534	1.158740726
535	1.158564023
536	1.158463363
537	1.158296603
538	1.158190101
539	1.158052134
540	1.157960291
541	1.15785584
542	1.157706681
543	1.157277259
544	1.157151918
545	1.156963894
546	1.156843875
547	1.156708777
548	1.156477919
549	1.156429203
550	1.156206172
551	1.156096981
552	1.155987827
553	1.155856928
554	1.155219671
555	1.155139173
556	1.155070486
557	1.154889178
558	1.154747562
559	1.154653793
560	1.154494372
561	1.154363335
562	1.154290536
563	1.15424077
564	1.154081421
565	1.153951717
566	1.153818477
567	1.153796903
568	1.15362665
569	1.153472027
570	1.15326602
571	1.153080882
572	1.152746958
573	1.152452934
574	1.152318588
575	1.152127566
576	1.152025682
577	1.151949101
578	1.151789012
579	1.15168196
580	1.151484777
581	1.151305556
582	1.151176313
583	1.151077884
584	1.150864143
585	1.150778486
586	1.15062968
587	1.150496147
588	1.150412157
589	1.150297488
590	1.150023453
591	1.149854896
592	1.149754815
593	1.149561982
594	1.149367942
595	1.149151355
596	1.149022072
597	1.148920905
598	1.148749261
599	1.148654933
600	1.148052919
601	1.147963567
602	1.147864357
603	1.147698485
604	1.147497904
605	1.147306375
606	1.147215837
607	1.147091796
608	1.146830766
609	1.146726229
610	1.146502571
611	1.146358648
612	1.146159591
613	1.145941365
614	1.145758271
615	1.145638331
616	1.145554459
617	1.14547215
618	1.14535628
619	1.145237015
620	1.14510915
621	1.14497899
622	1.144799115
623	1.144670132
624	1.144551571
625	1.144463955
626	1.144385868
627	1.144264573
628	1.144128219
629	1.143967116
630	1.143805525
631	1.143641088
632	1.143568178
633	1.143470271
634	1.143368486
635	1.143301859
636	1.142569933
637	1.142452166
638	1.142261282
639	1.142119026
640	1.141923323
641	1.141859394
642	1.141812373
643	1.141661149
644	1.141505927
645	1.141284023
646	1.141099245
647	1.141004997
648	1.140862663
649	1.140700257
650	1.140542355
651	1.140456102
652	1.140403161
653	1.140192424
654	1.139724525
655	1.139617303
656	1.139414446
657	1.139289555
658	1.139146734
659	1.138950753
660	1.138846417
661	1.138712626
662	1.138593227
663	1.138433073
664	1.138253572
665	1.138080525
666	1.137997727
667	1.137753445
668	1.137601955
669	1.137498978
670	1.137417772
671	1.137325715
672	1.137190084
673	1.137079984
674	1.136982761
675	1.136860249
676	1.136627396
677	1.13649896
678	1.136364749
679	1.136282429
680	1.136161092
681	1.1356081
682	1.135479451
683	1.135374333
684	1.135236127
685	1.135025995
686	1.134926191
687	1.134819762
688	1.134724981
689	1.134617072
690	1.134456053
691	1.13428753
692	1.134182557
693	1.134056041
694	1.133929426
695	1.133836836
696	1.133702275
697	1.133620908
698	1.133459048
699	1.133314961
700	1.133191186
701	1.133084789
702	1.132944732
703	1.132832382
704	1.132742044
705	1.132600399
706	1.132445061
707	1.132292005
708	1.132226632
709	1.132093434
710	1.131983845
711	1.131818272
712	1.131703042
713	1.131597286
714	1.131456163
715	1.131335322
716	1.131225449
717	1.131109553
718	1.131017249
719	1.130912844
720	1.130760333
721	1.130657632
722	1.130536973
723	1.130425855
724	1.130324179
725	1.130210217
726	1.130012387
727	1.129943143
728	1.129810883
729	1.129739169
730	1.129603301
731	1.129539666
732	1.129397182
733	1.129286918
734	1.129160516
735	1.129070971
736	1.128961504
737	1.128891329
738	1.128640891
739	1.128525273
740	1.12845451
741	1.128321717
742	1.12820955
743	1.128070797
744	1.127986437
745	1.12787671
746	1.127748742
747	1.127706498
748	1.12761866
749	1.127485161
750	1.127271345
751	1.127210333
752	1.127144856
753	1.127092736
754	1.126963874
755	1.126885397
756	1.126784054
757	1.126633916
758	1.126482477
759	1.126374646
760	1.126235512
761	1.126038113
762	1.125900733
763	1.125770464
764	1.125676972
765	1.125595284
766	1.125505662
767	1.125355648
768	1.125209232
769	1.124956197
770	1.124871924
771	1.124775104
772	1.124661837
773	1.124491081
774	1.12431386
775	1.124244114
776	1.12415754
777	1.124022898
778	1.123903084
779	1.123816863
780	1.123733458
781	1.123649506
782	1.12355802
783	1.123468272
784	1.123408735
785	1.123362574
786	1.12325317
787	1.123176187
788	1.123054938
789	1.122918133
790	1.122808434
791	1.122687919
792	1.122497256
793	1.122473688
794	1.122361854
795	1.122265607
796	1.122158441
797	1.122100929
798	1.122008175
799	1.121822893
800	1.121666036
801	1.12152663
802	1.12094095
803	1.120826224
804	1.120752134
805	1.120536438
806	1.120426973
807	1.120309968
808	1.120167823
809	1.120069364
810	1.120029588
811	1.119923798
812	1.119749065
813	1.119607681
814	1.119542755
815	1.119401523
816	1.119260522
817	1.119063256
818	1.118932052
819	1.118899037
820	1.118761732
821	1.118673401
822	1.118532016
823	1.118370813
824	1.118245961
825	1.118107491
826	1.118032415
827	1.117947495
828	1.117864064
829	1.117736376
830	1.117596723
831	1.117509044
832	1.117340587
833	1.117248622
834	1.117140797
835	1.117106957
836	1.116981461
837	1.116779202
838	1.116690652
839	1.116514807
840	1.116395449
841	1.116299374
842	1.116220354
843	1.116009153
844	1.115900224
845	1.115811923
846	1.115709078
847	1.115564992
848	1.115434831
849	1.11528823
850	1.115176665
851	1.114969271
852	1.114865368
853	1.114785335
854	1.114679114
855	1.114625356
856	1.114549055
857	1.114483677
858	1.114365458
859	1.114295326
860	1.11418973
861	1.114014854
862	1.113940008
863	1.113833326
864	1.11376928
865	1.113657768
866	1.113399891
867	1.113277856
868	1.113163813
869	1.11306638
870	1.112946152
871	1.112841301
872	1.112724205
873	1.112537299
874	1.11238627
875	1.112334429
876	1.112185423
877	1.112049449
878	1.111878935
879	1.111731627
880	1.111673698
881	1.111587472
882	1.111464812
883	1.111373358
884	1.111342463
885	1.111294374
886	1.111179223
887	1.111047333
888	1.110948388
889	1.110869607
890	1.110751023
891	1.110699476
892	1.110647067
893	1.110548895
894	1.110389615
895	1.110257469
896	1.110176508
897	1.110091735
898	1.109969962
899	1.109905769
900	1.109819143
901	1.109600467
902	1.109485725
903	1.109335189
904	1.10925618
905	1.109074927
906	1.109013649
907	1.108833291
908	1.108785879
909	1.10865221
910	1.108581078
911	1.108242896
912	1.108170301
913	1.108005245
914	1.107871333
915	1.107746392
916	1.107614509
917	1.107558056
918	1.10744262
919	1.107325679
920	1.10724719
921	1.107189592
922	1.107084802
923	1.106985778
924	1.106885318
925	1.106774631
926	1.106643303
927	1.106395963
928	1.106205747
929	1.106053582
930	1.106027455
931	1.105998151
932	1.105832328
933	1.105633336
934	1.105564111
935	1.105435958
936	1.105345604
937	1.105133262
938	1.105042982
939	1.104965391
940	1.104910768
941	1.104765474
942	1.104644238
943	1.104570068
944	1.104433832
945	1.104337687
946	1.103829648
947	1.103714242
948	1.103609276
949	1.10350905
950	1.10342724
951	1.103348597
952	1.10326798
953	1.103156151
954	1.10301307
955	1.10297144
956	1.102898759
957	1.102776324
958	1.102729835
959	1.102690032
960	1.102660501
961	1.102588235
962	1.102506468
963	1.102402699
964	1.102258109
965	1.102115246
966	1.10197996
967	1.101862292
968	1.101729878
969	1.1016895
970	1.101587173
971	1.101533358
972	1.101467887
973	1.101329389
974	1.101172552
975	1.101105843
976	1.101029774
977	1.100917442
978	1.100758459
979	1.100691658
980	1.100610471
981	1.100436114
982	1.100346278
983	1.100243569
984	1.100135039
985	1.100065873
986	1.09995304
987	1.099846013
988	1.099823861
989	1.099749711
990	1.099658857
991	1.099470017
992	1.098977517
993	1.09892724
994	1.098835449
995	1.098695824
996	1.098576746
997	1.098424968
998	1.09830555
999	1.097914496
